DeviceTag: Brazo,FirmwareVersion: 3.0.0,AppVersion: 2023.6.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Sensor fusion Mode - Extended (Euler),StartTime: 2026-01-16 09:06:20.454,© Movella Technologies B.V. 2005-2026
SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
7736793,0.7579,-0.0105,0.0083,0.6522,0.0116,-0.0036,-0.0659,0
7736960,0.7574,-0.0106,0.0084,0.6528,0.0101,-0.0053,-0.0468,0
7737127,0.7577,-0.0106,0.0085,0.6525,0.0118,-0.0116,-0.0547,0
7737294,0.7577,-0.0107,0.0086,0.6525,0.0074,0.0123,-0.0680,0
7737460,0.7579,-0.0107,0.0087,0.6522,0.0028,0.0090,-0.0573,0
7737627,0.7580,-0.0107,0.0088,0.6521,0.0184,0.0180,-0.0459,0
7737794,0.7581,-0.0106,0.0089,0.6520,0.0076,0.0142,-0.0213,0
7737960,0.7580,-0.0105,0.0090,0.6521,0.0195,0.0091,-0.0381,0
7738127,0.7581,-0.0105,0.0091,0.6520,0.0226,0.0099,-0.0589,0
7738294,0.7582,-0.0104,0.0092,0.6519,-0.0054,0.0060,-0.0684,0
7738460,0.7582,-0.0103,0.0094,0.6518,0.0191,0.0130,-0.0412,0
7738627,0.7583,-0.0103,0.0095,0.6518,0.0267,0.0036,-0.0658,0
7738794,0.7583,-0.0102,0.0096,0.6518,0.0207,0.0081,-0.0497,0
7738960,0.7583,-0.0102,0.0097,0.6518,0.0295,0.0108,-0.0533,0
7739127,0.7583,-0.0101,0.0098,0.6518,0.0357,0.0317,-0.0524,0
7739294,0.7582,-0.0101,0.0100,0.6518,0.0310,0.0300,-0.0414,0
7739460,0.7582,-0.0100,0.0101,0.6518,0.0330,0.0192,-0.0642,0
7739627,0.7582,-0.0099,0.0102,0.6519,0.0229,0.0113,-0.0620,0
7739794,0.7582,-0.0099,0.0103,0.6518,0.0170,0.0104,-0.0362,0
7739960,0.7582,-0.0098,0.0105,0.6518,0.0360,0.0198,-0.0345,0
7740127,0.7582,-0.0098,0.0106,0.6519,0.0413,0.0168,-0.0576,0
7740294,0.7582,-0.0097,0.0107,0.6519,0.0331,0.0110,-0.0352,0
7740460,0.7581,-0.0097,0.0109,0.6520,0.0468,0.0245,-0.0512,0
7740627,0.7581,-0.0096,0.0110,0.6520,0.0368,0.0242,-0.0577,0
7740794,0.7580,-0.0096,0.0111,0.6521,0.0513,0.0199,-0.0665,0
7740960,0.7580,-0.0095,0.0112,0.6521,0.0553,0.0261,-0.0629,0
7741127,0.7579,-0.0095,0.0114,0.6522,0.0602,0.0292,-0.0500,0
7741294,0.7579,-0.0094,0.0115,0.6522,0.0630,0.0210,-0.0462,0
7741460,0.7579,-0.0094,0.0116,0.6522,0.0566,0.0231,-0.0504,0
7741627,0.7579,-0.0093,0.0117,0.6522,0.0574,0.0135,-0.0436,0
7741794,0.7579,-0.0092,0.0119,0.6522,0.0672,0.0278,-0.0466,0
7741960,0.7579,-0.0092,0.0120,0.6522,0.0579,0.0164,-0.0709,0
7742127,0.7579,-0.0091,0.0121,0.6522,0.0758,0.0342,-0.0354,0
7742294,0.7578,-0.0091,0.0123,0.6523,0.0875,0.0329,-0.0402,0
7742460,0.7578,-0.0090,0.0124,0.6523,0.0679,0.0328,-0.0277,0
7742627,0.7578,-0.0090,0.0125,0.6523,0.0845,0.0340,-0.0523,0
7742794,0.7578,-0.0089,0.0126,0.6523,0.0821,0.0294,-0.0590,0
7742960,0.7577,-0.0089,0.0128,0.6524,0.0906,0.0325,-0.0504,0
7743127,0.7577,-0.0088,0.0129,0.6524,0.0897,0.0387,-0.0454,0
7743294,0.7577,-0.0088,0.0130,0.6524,0.0878,0.0427,-0.0387,0
7743460,0.7577,-0.0087,0.0131,0.6524,0.0933,0.0322,-0.0379,0
7743627,0.7576,-0.0087,0.0132,0.6525,0.0811,0.0308,-0.0367,0
7743794,0.7576,-0.0086,0.0134,0.6525,0.0924,0.0282,-0.0419,0
7743960,0.7576,-0.0086,0.0135,0.6525,0.1102,0.0396,-0.0358,0
7744127,0.7576,-0.0085,0.0136,0.6526,0.1131,0.0354,-0.0330,0
7744294,0.7576,-0.0085,0.0137,0.6526,0.0926,0.0270,-0.0463,0
7744460,0.7575,-0.0084,0.0139,0.6526,0.1005,0.0457,-0.0535,0
7744627,0.7575,-0.0084,0.0140,0.6526,0.1205,0.0368,-0.0558,0
7744794,0.7575,-0.0084,0.0141,0.6526,0.1095,0.0421,-0.0427,0
7744960,0.7575,-0.0083,0.0142,0.6526,0.1228,0.0468,-0.0552,0
7745127,0.7575,-0.0082,0.0144,0.6527,0.1300,0.0412,-0.0600,0
